epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,688.463,1.98059,1.52805,1.21502,0.6881,0.42742,0.46769,0.21327,1.81758,1.22087,1.18093,0.000666253,0.000666253,0.000666253
2,1259.19,1.8711,1.21283,1.15824,0.73472,0.43538,0.48747,0.23658,1.71396,1.11115,1.16973,0.00128893,0.00128893,0.00128893
3,1782.51,1.83297,1.1537,1.13534,0.74779,0.45263,0.51072,0.25474,1.69262,1.05814,1.16685,0.00186761,0.00186761,0.00186761
4,4908.41,1.80694,1.10891,1.12788,0.76677,0.4802,0.5429,0.27113,1.65047,0.98296,1.13935,0.001802,0.001802,0.001802
5,7523.23,1.76533,1.06162,1.11547,0.78519,0.49526,0.55788,0.28038,1.62544,0.93481,1.1169,0.001736,0.001736,0.001736
6,8016.69,1.73104,1.01574,1.09938,0.78291,0.50118,0.56228,0.27731,1.63153,0.91065,1.11762,0.00167,0.00167,0.00167
7,8537.01,1.71181,0.99818,1.09383,0.80445,0.51449,0.58337,0.29711,1.57901,0.889,1.10725,0.001604,0.001604,0.001604
8,11108.6,1.70421,0.98234,1.08752,0.81377,0.52459,0.59534,0.3021,1.55531,0.85376,1.09916,0.001538,0.001538,0.001538
9,11606.9,1.68708,0.95847,1.08346,0.81082,0.526,0.59456,0.30548,1.54479,0.83174,1.08916,0.001472,0.001472,0.001472
10,14387.6,1.68131,0.94508,1.07685,0.81739,0.52987,0.6014,0.30783,1.53828,0.83281,1.08911,0.001406,0.001406,0.001406
11,15535.1,1.65707,0.92703,1.07172,0.80964,0.52302,0.59376,0.30416,1.54788,0.83295,1.08968,0.00134,0.00134,0.00134
12,18249.7,1.6492,0.92479,1.06668,0.81198,0.52549,0.59642,0.30596,1.53311,0.82374,1.08481,0.001274,0.001274,0.001274
13,20888.5,1.6337,0.91089,1.06532,0.82383,0.53388,0.60782,0.31457,1.50723,0.79571,1.07416,0.001208,0.001208,0.001208
14,24172.9,1.62606,0.89624,1.06048,0.82289,0.5427,0.61226,0.31612,1.52317,0.80293,1.07888,0.001142,0.001142,0.001142
15,24978.8,1.62682,0.89149,1.05852,0.8297,0.54696,0.61688,0.31732,1.52075,0.78609,1.08037,0.001076,0.001076,0.001076
16,25472.1,1.61644,0.87866,1.05764,0.81997,0.55484,0.62294,0.32216,1.50567,0.77482,1.0708,0.00101,0.00101,0.00101
17,27509.3,1.61901,0.87815,1.05292,0.82635,0.55129,0.62093,0.32261,1.49914,0.7675,1.06809,0.000944,0.000944,0.000944
18,28732.5,1.60518,0.85881,1.05176,0.83319,0.55479,0.62549,0.3267,1.49595,0.75697,1.06737,0.000878,0.000878,0.000878
19,31402.9,1.59769,0.85938,1.04592,0.82929,0.55643,0.62735,0.32729,1.49058,0.74745,1.06501,0.000812,0.000812,0.000812
20,31910.1,1.5984,0.85045,1.04343,0.8346,0.56364,0.63369,0.33297,1.47394,0.74609,1.0587,0.000746,0.000746,0.000746
21,35897.2,1.52878,0.80034,1.05348,0.83479,0.56007,0.63331,0.33064,1.477,0.74388,1.06064,0.00068,0.00068,0.00068
22,38596.1,1.53048,0.79461,1.05042,0.83282,0.56245,0.63461,0.33402,1.46961,0.73342,1.05634,0.000614,0.000614,0.000614
23,41211.7,1.51572,0.7831,1.04531,0.83541,0.56373,0.63589,0.33452,1.46655,0.72707,1.05258,0.000548,0.000548,0.000548
24,41746.9,1.51022,0.77187,1.04656,0.83818,0.56054,0.63529,0.33642,1.46336,0.72184,1.05446,0.000482,0.000482,0.000482
25,43736.2,1.5009,0.76292,1.04134,0.8349,0.56395,0.63619,0.33508,1.46558,0.71632,1.0525,0.000416,0.000416,0.000416
26,46240.1,1.49644,0.75817,1.04014,0.83825,0.56646,0.63754,0.3371,1.45951,0.71325,1.05226,0.00035,0.00035,0.00035
27,849.112,1.5286,0.85897,1.08005,0.83582,0.56558,0.63552,0.33598,1.43671,0.71429,1.07983,0.000284,0.000284,0.000284
28,1626.93,1.52591,0.85688,1.07845,0.83344,0.56625,0.63727,0.33634,1.43849,0.71555,1.07873,0.000218,0.000218,0.000218
29,2378.68,1.5027,0.83625,1.06929,0.83484,0.56575,0.63705,0.33707,1.43247,0.70953,1.0765,0.000152,0.000152,0.000152
30,3129.74,1.49703,0.82705,1.07266,0.83547,0.56585,0.63767,0.33681,1.43625,0.7077,1.07792,8.6e-05,8.6e-05,8.6e-05
